"id (N)","answer (S)","assignmentid (N)","dateanswered (S)","dategraded (S)","grade (N)","studentid (N)"
"34","Because charmander would evolve into stringmander.","25","07/08/2020","07/16/2020","3.5","19"
"35","Because they are pro-grammers.","26","07/08/2020","07/13/2020","3.9","19"
"36","You are stuck writing Al Gore Rhythms.","27","07/08/2020","07/16/2020","4","17"
"37","Because they didn't have enough cache!","28","07/08/2020","07/15/2020","4","19"
"38","IDENTIFICATION DIVISION. 
       PROGRAM-ID. HELLO.
       PROCEDURE DIVISION.
           DISPLAY ""Hello, world"".
       END PROGRAM HELLO.","29","07/08/2020","07/09/2020","3.9","1"
"39","It is like a piece of chocolate cake without ketchup or mustard.","30","7/9/2020","7/14/2020","3.4","2"
"41","None, they prefer the dark mode.","15","07/11/2020","07/16/2020","3.7","17"
"42","How To Meet Ladies","32","07/08/2020","07/12/2020","3.7","13"
"43","Because they always work below C-level","33","07/10/2020","07/12/2020","3.6","13"
"44","Because they don’t C#.","34","7/8/2020","7/14/2020","4","3"
"45","They walked out because they couldn’t find a table.","35","07/09/2020","07/16/2020","3.9","13"
"46","Inheritance.","36","07/09/2020","07/16/2020","4","19"
"47","A full one, in case he gets thirsty, and an empty one, in case he doesn’t.","37","07/08/2020","07/16/2020","3.4","19"
"48","STOP RUN RETURNING NOW.","38","7/10/2020","7/14/2020","3.8","13"
"49","Completely Obsolete Business Oriented Language","39","7/9/2020","7/14/2020","2.7","2"
"51","There’s always one more bug.","41","07/09/2020","07/17/2020","3.9","17"
"52","1.00000000001","42","7/7/2020","7/14/2020","4","16"
"53","One has script and the other doesn't.","21","07/12/2020","07/15/2020","2.7","19"
"54","At 4:20 AM","24","07/12/2020","07/15/2020","4","19"
"55","You must, first, understand recursion.","23","07/12/2020","07/16/2020","4","19"
"56","STOP RUN RETURNING NOW.","38","7/12/2020","7/14/2020","3.8","2"
"57","IDENTIFICATION DIVISION.
PROGRAM-ID. HELLO-WORLD.
* simple hello world program
PROCEDURE DIVISION.
    DISPLAY 'Hello world!'.
    STOP RUN.","29","07/12/2020","07/14/2020","4","2"
"58","Because they can't C.","34","7/13/2020","7/14/2020","4","19"
"59","19","1","7/14/2020","7/14/2020","4","8"
"60","888+88+8+8+8","3","7/14/2020","7/14/2020","4","8"
"61","13 and 36","4","7/14/2020","7/14/2020","2","8"
"62","4 children get 1 apple each, the fifth gets the basket with the remaining apple.","5","7/14/2020","7/14/2020","4","8"
"63","5280","14","7/14/2020","7/14/2020","4","8"
"64","They just decompile.","19","7/14/2020","","0","8"
"65","16","1","7/14/2020","7/14/2020","2","10"
"66","888+88+8+8+8","3","7/14/2020","7/14/2020","4","10"
"67","34","4","7/14/2020","7/14/2020","2","10"
"68","5280 feet.","14","7/14/2020","7/14/2020","4","10"
"69","Only if you are trying to hatch it.","22","07/23/2020","07/17/2020","3.8","13"
"70","A dummy argument.","18","7/14/2020","7/14/2020","4","1"
"71","1.00000000001.","42","7/15/2020","7/14/2020","4","1"
"72","Because they can't C#.","34","7/14/2020","7/14/2020","4","1"
"73","Not a physic's lab computer.","30","7/17/2020","","0","1"
"74","STOP RUN RETURNING NOW.","38","7/15/2020","7/15/2020","3.8","1"
"75","A compiled English-like programming language that is imperative, procedural and, since 2002, object-oriented. ","39","7/15/2020","7/15/2020","4","1"
"76","What's your point?","6","07/18/2020","","0","18"
"77","Someone who can code.","17","07/23/2020","07/23/2020","4","18"
"79","1.00000000001","42","07/23/2020","","0","13"
"80","Because they didn't have enough cache!","28","07/23/2020","","0","13"
"81","You will be stuck writing Al Gore Rhythms.","27","07/23/2020","","0","13"
"82","Because they are all pro-grammers.","26","07/23/2020","07/23/2020","3.8","13"
"83","Because charmander would had evolved into stringmander.","25","07/23/2020","","0","13"
"84","A piece of chocolate cake without ketchup and mustard.","30","07/23/2020","","0","13"
"85","5280","14","07/23/2020","","0","13"
